1	1
2	3
3	5
4	7
5	9
6	10
7	12
8	13
9	16
10	18
11	19
12	22
13	25
14	27
15	32
16	37
17	41
18	50
19	55
20	62
21	69
22	73
23	77
24	89
25	97
26	110
27	116
28	124
29	135
30	141
31	161
32	170
33	187
34	197
35	203
36	221
37	242
38	253
39	261
40	280
41	286
42	296
43	308
44	324
45	342
46	353
47	365
48	386
49	390
50	398
51	421
52	439
53	454
54	468
55	482
56	491
57	504
58	515
59	525
60	535
61	553
62	571
63	574
64	589
65	599
66	607
67	621
68	633
69	642
70	654
71	670
72	681
73	689
74	701
75	715
76	728
77	752
78	773
79	786
80	807
81	817
82	834
83	849
84	862
85	886
86	908
87	924
88	932
89	949
90	961
91	971
92	991
93	1002
94	1020
95	1038
96	1056
97	1079
98	1108
99	1123
100	1135
101	1155
102	1167
103	1179
104	1196
105	1216
106	1230
107	1238
108	1244
109	1248
110	1254
111	1258
112	1261
113	1265
114	1272
115	1279
116	1284
117	1296
118	1308
119	1314
