1	3
2	3
3	4
4	5
5	13
6	22
7	26
8	37
9	39
10	43
11	91
12	138
13	262
14	330
15	422
16	501
17	596
18	717
19	855
20	1015
21	1154
22	1333
23	1569
24	1853
25	2084
26	2299
27	2543
28	2766
29	3015
30	3336
31	3756
32	4236
33	4663
34	5106
35	5560
36	6146
37	6757
38	7374
39	7980
40	8595
41	9286
42	10099
43	10989
44	11834
45	12714
46	13688
47	14813
48	15901
49	16954
50	18234
51	19575
52	20792
53	22302
54	23977
55	25815
56	27654
57	29438
58	31208
59	33178
60	35086
61	36802
62	38910
63	41107
64	43012
65	45362
66	47992
67	50832
68	53575
69	56168
70	58568
71	61211
72	63687
73	66066
74	68849
75	71565
76	73916
77	76619
78	79594
79	83411
80	86967
81	90609
82	94266
83	98536
84	102321
85	105880
86	109876
87	113743
88	117182
89	121045
90	125377
91	126259
